ques_no,question,option1,option2,option3,option4,correct_option,marks_correct_ans,marks_wrong_ans,compulsory,time=20m,marked_choice,Total,Legend
1,What is the capital of India,Mumbai,Chennai,New Delhi,Kolkata,3,5,-1,n,,3,6,Correct Choices
2,9/3=,3,7,9,8,1,4,-1,y,,1,4,Wrong Choices
3,Capital of France,Paris,Patna,Amhara,London,1,8,-2,n,,2,0,Unattempted
4,b for,ball,cat,dog,goat,1,2,-1,n,,3,24,Marks Obtained
5,8/2=,5,4,1,6,2,5,-1,n,,1,49,Total Quiz Marks
6,2x5=,1,10,3,2,2,5,-1,n,,1,,
7,e for ?,apple,elephant,cat,dog,2,5,-1,y,,2,,
8,2-1=,1,2,3,4,1,5,-1,n,,1,,
9,8-9=,13,14,-1,17,3,5,-1,y,,3,,
10,o' + 'm'=,fa,om,ba,ca,2,5,-1,n,,2,,
